route_id,direction_id,direction
11638,0,WESTBOUND
11638,1,EASTBOUND
11639,0,WESTBOUND
11639,1,EASTBOUND
11640,0,SOUTHBOUND
11640,1,NORTHBOUND
11641,0,WESTBOUND
11641,1,EASTBOUND
11642,0,SOUTHBOUND
11642,1,NORTHBOUND
11643,0,WESTBOUND
11643,1,EASTBOUND
11644,0,WESTBOUND
11644,1,EASTBOUND
11645,0,WESTBOUND
11645,1,EASTBOUND
11646,0,SOUTHBOUND
11646,1,NORTHBOUND
11647,0,WESTBOUND
11647,1,EASTBOUND
11648,0,SOUTHBOUND
11648,1,NORTHBOUND
11649,0,SOUTHBOUND
11649,1,NORTHBOUN
11649,1,Northbound
11650,0,SOUTHBOUND
11650,1,NORTHBOUND
11651,0,SOUTHBOUND
11651,1,NORTHBOUND
11652,0,SOUTHBOUND
11652,1,NORTHBOUND
11653,0,SOUTHBOUND
11653,1,NORTHBOUND
11654,0,WESTBOUND
11654,1,EASTBOUND
11655,0,Circulator
11656,0,WESTBOUND
11656,1,Eastbound
11657,0,SOUTHBOUND
11657,1,NORTHBOUND
11658,0,WESTBOUND
11658,1,EASTBOUND
11659,0,EASTBOUND
11659,1,WESTBOUND
11660,0,SOUTHBOUND
11660,1,NORTHBOUND
11661,0,SOUTHBOUND
11661,1,NORTHBOUND
11662,0,SOUTHBOUND
11662,1,NORTHBOUND
11663,0,SOUTHBOUND
11663,1,NORTHBOUND
11664,0,SOUTHBOUND
11664,1,NORTHBOUND
11665,0,SOUTHBOUND
11665,1,NORTHBOUND
11666,0,WESTBOUND
11666,1,EASTBOUND
11667,0,WESTBOUND
11667,1,EASTBOUND
11668,0,WESTBOUND
11668,1,EASTBOUND
11669,0,WESTBOUND
11669,1,EASTBOUND
11670,0,WESTBOUND
11670,1,EASTBOUND
11671,0,WESTBOUND
11671,1,EASTBOUND
11672,0,SOUTHBOUND
11672,1,NORTHBOUND
11673,0,SOUTHBOUND
11673,1,NORTHBOUND
11674,0,SOUTHBOUND
11674,1,NORTHBOUND
11675,0,SOUTHBOUND
11675,1,NORTHBOUND
11676,0,SOUTHBOUND
11676,1,NORTHBOUND
11677,0,SOUTHBOUND
11677,1,NORTHBOUND
11678,0,NORTHBOUND
11678,1,SOUTHBOUND
11679,0,SOUTHBOUND
11679,1,NORTHBOUND
11680,0,SOUTHBOUND
11680,1,NORTHBOUND
11681,0,Southbound
11681,1,Northbound
11684,0,SOUTHBOUND
11684,1,NORTHBOUND
11686,0,SOUTHBOUND
11686,1,Northbound
11687,0,SOUTHBOUND
11687,1,NORTHBOUND
11688,0,SOUTHBOUND
11688,1,NORTHBOUND
11689,0,Eastbound
11689,1,Westbound
11690,0,SOUTHBOUND
11690,1,NORTHBOUND
11691,0,EASTBOUND
11691,1,Westbound
11734,0,EASTBOUND
11734,1,WESTBOUND
11735,0,SOUTHBOUND
11735,1,NORTHBOUND
11736,0,WESTBOUND
11736,1,EASTBOUND
11737,0,SOUTHBOUND
11737,1,NORTHBOUND
11738,0,EASTBOUND
11738,1,WESTBOUND
11739,0,WESTBOUND
11739,1,EASTBOUND
11740,0,WESTBOUND
11740,1,EASTBOUND
11741,0,WESTBOUND
11741,1,EASTBOUND
11742,0,WESTBOUND
11742,1,EASTBOUND
11743,0,SOUTHBOUND
11743,1,NORTHBOUND
11744,0,SOUTHBOUND
11744,1,NORTHBOUND
11745,0,SOUTHBOUND
11745,1,NORTHBOUND
14498,0,WESTBOUND
14498,1,EASTBOUND
15552,0,WESTBOUND
15552,1,EASTBOUND
