pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
1,e0001n,7500,2,1
2,e0001s,7500,2,1
3,ev0001,7500,5,1
4,e0002,7522,2,1
5,e0002,10906,2,1
6,7522,10906,2,1
7,e0003,7520,2,1
8,ev0003,7520,2,1
9,e0003,11422,2,1
10,ev0003,11422,5,1
11,7520,11422,2,1
12,e0004e,7519,2,1
13,e0004e,4819,2,1
14,e0004w,7519,2,1
15,e0004w,4819,2,1
16,ev0004,7519,5,1
17,ev0004,4819,5,1
18,7519,4819,2,1
19,e0005,10420,2,1
20,e0005,10419,2,1
21,ev0005,10420,5,1
22,ev0005,10419,5,1
23,10420,10419,2,1
24,e0006,5584,2,1
25,e0006,5585,2,1
26,ev0006e,5584,5,1
27,ev0006e,5585,5,1
28,ev0006w,5584,5,1
29,ev0006w,5585,5,1
30,5584,5585,2,1
31,e0007,7517,2,1
32,e0007,7503,2,1
33,ev0007,7517,5,1
34,ev0007,7503,5,1
35,7517,7503,2,1
36,e0008n,7516,2,1
37,e0008n,7504,2,1
38,e0008s,7516,2,1
39,e0008s,7504,2,1
40,ev0008,7516,5,1
41,ev0008,7504,5,1
42,7516,7504,2,1
43,e0009,7515,2,1
44,e0009,7505,2,1
45,ev0009,7515,5,1
46,ev0009,7505,5,1
47,7515,7505,2,1
48,e0010,7514,2,1
49,e0010,7506,2,1
50,ev0010,7514,5,1
51,ev0010,7506,5,1
52,7514,7506,2,1
53,e0011n,7513,2,1
54,e0011n,7507,2,1
55,e0011s,7513,2,1
56,e0011s,7507,2,1
57,ev0011,7513,5,1
58,ev0011,7507,5,1
59,7513,7507,2,1
60,e0012e,7512,2,1
61,e0012e,7508,2,1
62,e0012w,7512,2,1
63,e0012w,7508,2,1
64,ev0012,7512,5,1
65,ev0012,7508,5,1
66,7512,7508,2,1
67,e0013e,7509,2,1
68,e0013e,7511,2,1
69,e0013w,7509,2,1
70,e0013w,7511,2,1
71,ev0013e,7509,5,1
72,ev0013e,7511,5,1
73,ev0013w,7509,5,1
74,ev0013w,7511,5,1
75,7509,7511,2,1
76,e0014n,7510,2,1
77,e0014s,7510,2,1
78,ev0014n,7510,5,1
79,ev0014s,7510,5,1
