trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,07:00:00,07:00:00,0,1
1,07:01:57,07:01:57,1,2
1,07:05:33,07:05:33,2,3
1,07:07:56,07:07:56,17,4
1,07:12:53,07:12:53,3,5
1,07:19:10,07:19:10,4,6
1,07:21:40,07:21:40,5,7
1,07:23:34,07:23:34,6,8
1,07:25:51,07:25:51,7,9
1,07:28:08,07:28:08,8,10
1,07:29:42,07:29:42,9,11
1,07:31:30,07:31:30,10,12
1,07:34:22,07:34:22,11,13
1,07:36:58,07:36:58,12,14
1,07:39:46,07:39:46,18,15
1,07:41:52,07:41:52,13,16
1,07:44:28,07:44:28,14,17
1,07:48:31,07:48:31,16,18
1,07:50:15,07:50:15,15,19
2,07:08:00,07:08:00,0,1
2,07:09:57,07:09:57,1,2
2,07:13:33,07:13:33,2,3
2,07:15:56,07:15:56,17,4
2,07:20:53,07:20:53,3,5
2,07:27:10,07:27:10,4,6
2,07:29:40,07:29:40,5,7
2,07:31:34,07:31:34,6,8
2,07:33:51,07:33:51,7,9
2,07:36:08,07:36:08,8,10
2,07:37:42,07:37:42,9,11
2,07:39:30,07:39:30,10,12
2,07:42:22,07:42:22,11,13
2,07:44:58,07:44:58,12,14
2,07:47:46,07:47:46,18,15
2,07:49:52,07:49:52,13,16
2,07:52:28,07:52:28,14,17
2,07:56:31,07:56:31,16,18
2,07:58:15,07:58:15,15,19
3,07:16:00,07:16:00,0,1
3,07:17:57,07:17:57,1,2
3,07:21:33,07:21:33,2,3
3,07:23:56,07:23:56,17,4
3,07:28:53,07:28:53,3,5
3,07:35:10,07:35:10,4,6
3,07:37:40,07:37:40,5,7
3,07:39:34,07:39:34,6,8
3,07:41:51,07:41:51,7,9
3,07:44:08,07:44:08,8,10
3,07:45:42,07:45:42,9,11
3,07:47:30,07:47:30,10,12
3,07:50:22,07:50:22,11,13
3,07:52:58,07:52:58,12,14
3,07:55:46,07:55:46,18,15
3,07:57:52,07:57:52,13,16
3,08:00:28,08:00:28,14,17
3,08:04:31,08:04:31,16,18
3,08:06:15,08:06:15,15,19
4,07:24:00,07:24:00,0,1
4,07:25:57,07:25:57,1,2
4,07:29:33,07:29:33,2,3
4,07:31:56,07:31:56,17,4
4,07:36:53,07:36:53,3,5
4,07:43:10,07:43:10,4,6
4,07:45:40,07:45:40,5,7
4,07:47:34,07:47:34,6,8
4,07:49:51,07:49:51,7,9
4,07:52:08,07:52:08,8,10
4,07:53:42,07:53:42,9,11
4,07:55:30,07:55:30,10,12
4,07:58:22,07:58:22,11,13
4,08:00:58,08:00:58,12,14
4,08:03:46,08:03:46,18,15
4,08:05:52,08:05:52,13,16
4,08:08:28,08:08:28,14,17
4,08:12:31,08:12:31,16,18
4,08:14:15,08:14:15,15,19
5,07:32:00,07:32:00,0,1
5,07:33:57,07:33:57,1,2
5,07:37:33,07:37:33,2,3
