h_geocode,gravity
245100101001000,6957.786684807246
245100101001001,5845.930308867446
245100101001002,5828.668573572628
245100101001003,6921.338397481023
245100101001004,7506.900468617523
245100101001005,8519.248484610223
245100101001006,9312.924781134816
245100101001008,8642.603174299178
245100101001009,8209.911327453025
245100101001010,7666.236988097473
245100101001011,7790.942442181651
245100101001012,7784.826351037217
245100101001013,6730.431302615987
245100101001014,6421.890367945689
245100101001015,6982.773956762892
245100101001016,8443.859394155086
245100101001017,8752.538803753978
245100101001018,6171.496841077044
245100101002000,6977.29545248051
245100101002001,5068.117963884928
245100101002002,5905.921313326255
245100101002003,7592.917340692478
245100101002004,6120.7375870124015
245100101002005,6321.859169769211
245100101002006,7486.883126221023
245100101002007,5637.878594914457
245100101002008,5865.72599996891
245100101002009,5262.9154639778735
245100101002010,4567.260835067481
245100101002011,5797.464593405514
245100101002012,4905.570472521889
245100101002013,4850.755575883753
245100101002014,4609.543535174036
245100101002015,5459.685183052616
245100101002017,4929.923151654022
245100101003000,4883.243719801596
245100101003001,4701.870898602727
245100101003002,4516.543288097715
245100101003003,4464.073244549652
245100101003004,4314.697617027917
245100101003005,4351.330230422764
245100101003006,3534.3110053384867
245100101003007,3599.5548874109236
245100101003008,3130.041924456521
245100101003009,3464.8714831264115
245100101003010,4319.195130212383
245100101003011,4163.095714102177
245100101003012,4443.205355552171
245100101003014,4492.678187427477
245100101003015,3396.1202008638993
245100101003016,3486.3882885011917
245100101003017,3928.3300895567168
245100101003018,3515.616498700025
245100102001000,5040.47576215086
245100102001001,5357.1982607399505
245100102001002,5074.514792323529
245100102001003,4157.836776620508
245100102001004,4648.995577946387
245100102001005,4864.969950045692
245100102001006,5598.825249455829
245100102001007,5053.797211558764
245100102002000,8020.831545328349
245100102002001,6991.516711544278
245100102002002,8788.969361745454
245100102002003,10162.380115118689
245100102002004,9961.96224808253
245100102002005,8906.895575576502
245100102002006,6627.937450861619
245100102002007,8103.488607672065
245100102003000,8845.309875473511
245100102003001,9604.697274249083
245100102003002,10474.779567696045
245100102003003,10893.38419920114
245100102003005,10538.5162750122
245100102003006,9308.081555631716
245100102003007,9913.717324524187
245100102003008,9654.988729756493
245100102003009,8829.322558690546
245100102003010,7554.460583854095
245100102003011,6605.449027695843
245100102004000,4874.584314655488
245100102004001,4902.214242011995
245100102004002,5550.260386456806
245100102004003,5203.75113042709
245100102004004,4530.603146715421
245100102004005,4350.624939745812
245100103001000,8822.986548661309
245100103001001,9982.967377843106
245100103001002,10458.144695775316
245100103001003,11722.849878065095
245100103001004,12292.20484967577
245100103001005,10069.93844226258
245100103001006,10748.58136994804
245100103001007,9311.556933233169
245100103001008,8912.498268144966
245100103001009,8697.49143239201
245100103001010,10032.035261546254
245100103001011,9957.39458015098
245100103002000,12861.459998945898
245100103002001,12187.301040527944
245100103002002,12590.63292197089
245100103002003,13895.586363707593
245100103002004,14492.263244880041
245100103002005,15061.111074527353
245100103002006,14677.99394222342
245100103002007,15061.062094935516
245100103002008,14239.104402362578
245100103002009,12870.598706643545
245100103002010,12198.822268326487
245100103002011,12877.234888400983
245100103002012,12321.9687372086
245100103002013,9092.942753323801
245100103002014,12590.038731405737
245100103002015,10638.22524405646
245100103002016,12027.316870291219
245100103002017,10276.787238529536
245100103002018,9605.956675069883
245100103002019,10113.71478692608
245100103002020,12119.323106834672
245100103002021,12051.559171818368
245100104001000,8904.506556854529
245100104001001,8327.989422400056
245100104001002,8969.3523004792
245100104001003,9987.31100612492
245100104001004,9844.036015149353
245100104001005,8897.673351525125
245100104001006,10422.074929619448
245100104001007,11288.990039739569
245100104001009,5924.880078796248
245100104001010,6871.649463935841
245100104001011,7192.32701620599
245100104001012,8402.070405983646
245100104001013,5458.162542134818
245100104001016,4109.931765318666
245100104001017,3327.564826564485
245100104002000,16286.328491919903
245100104002001,15935.789976668633
245100104002002,15147.69741192101
245100104002003,16258.75351252927
245100104002004,14359.479359829425
245100104002005,13652.306931702871
245100104002006,14232.502553972383
245100104002007,14144.349889960615
245100104002008,12382.929124677867
245100104002009,12522.730067252216
245100104002010,11915.726342285172
245100104002012,13348.946467463438
245100104002013,12695.928298599156
245100104002014,11163.161339167884
245100104002015,10825.069789609635
245100104002016,11321.206097987008
245100104002017,14100.340788031506
245100104003000,10498.072411708497
245100104003001,8703.618622058486
245100104003002,1960.9386982768242
245100104003003,2893.7625880135233
245100104003004,2709.0004014489705
245100104003005,2574.325220111118
245100105001000,14270.617375326647
245100105001001,15248.741822315786
245100105001002,15593.225865484723
245100105001003,14289.342500082952
245100105001004,13680.609973138718
245100105001005,13868.37702225858
245100105001006,13171.797634203353
245100105001007,13323.883992271556
245100105001008,12042.360056978276
245100105001009,12075.12492954401
245100105001010,15136.434711344296
245100105001011,14153.562488542651
245100105002000,12554.227405419419
245100105002001,12311.370717002535
245100105002002,12458.215955507518
245100105002003,13530.947833227754
245100105002004,15373.311158761051
245100105002005,13754.939991869243
245100105002006,14393.367895277952
245100105002007,13348.663907479768
245100105002008,14799.30487745423
245100105002009,14493.653691334957
245100105002010,15658.432096883726
245100105002011,14902.628784461107
245100105002012,15936.383452959784
245100105002013,15658.518760220388
245100201001000,14996.15129047485
245100201001001,18744.203412271287
245100201001002,19167.503977958364
245100201001003,21234.120876068795
245100201001004,20236.57915820043
245100201001005,18919.17219219715
245100201001006,17325.795131734034
245100201001007,17697.50418570726
245100201001008,15644.394863670053
245100201002000,16294.798118682304
245100201002001,18491.773840661743
245100201002002,18239.326733009053
245100201002003,18975.466245182044
245100201002004,18774.6938288284
245100201002005,18605.193834352136
245100201002006,18500.066223234433
245100201002007,16748.709770537644
245100201002008,14587.144395721578
245100201002009,17692.6668667542
245100201002010,17791.65713014287
245100201002011,17581.70713483418
245100201002012,17467.606815628016
245100201002013,18038.560264632804
245100201002014,17827.373021382526
245100202001000,21276.662803497842
245100202001001,21558.228032899184
245100202001002,22996.697383479957
245100202001003,28196.10014072302
245100202001004,20026.713254757087
245100202001005,20753.34105972022
245100202001006,22933.897515969606
245100202001007,21314.934245573226
245100202001008,27833.644212580297
245100202001009,25490.152558818634
245100202002000,18886.16704672404
245100202002001,18802.457353757174
245100202002002,20789.67216768294
245100202002003,23733.98124111751
245100202002004,23134.86070847408
245100202002005,19414.437789166783
245100202002006,18626.087241445537
245100202002007,18373.3928707412
245100202002008,17657.912196931
245100202002009,18032.25258019946
245100202002010,18730.610767107966
245100202002011,19602.38343012988
245100202002012,20992.039207119113
245100203001000,17495.065652117206
245100203001001,18948.984033097684
245100203001002,17393.044944759793
245100203001003,17193.40301218276
245100203001004,16865.376374759995
245100203001005,17185.426362055707
245100203001006,15292.657272351535
245100203001007,21694.30816357598
245100203001008,18655.384164791678
245100203001009,16914.128824983985
245100203001010,12317.325288257107
245100203001011,14808.378787116677
245100203001012,14711.130308057185
245100203001013,16218.517695305254
245100203001014,17482.30043506962
245100203001015,15411.748703277935
245100203001016,12524.121516057243
245100203002000,19329.378291166584
245100203002001,24980.81131227017
245100203002002,27709.5008598838
245100203002003,30788.888751198898
245100203002004,29454.925516300136
245100203002006,21478.745196680567
245100203002010,21406.97107070697
245100203002011,21233.34614276522
245100203002012,18812.952739356282
245100203002013,16173.444055909305
245100203002014,16804.28422126023
245100203002015,19149.432446319996
245100203002017,22117.69094835387
245100203002018,18055.327319926982
245100203002019,18371.85288099298
245100203002020,13918.829778326603
245100203002022,13149.00681142131
245100203002023,12818.308420947493
245100203002024,12878.456690790132
245100203002025,9820.764467670615
245100203002026,9291.093113517176
245100203002028,10450.18402737672
245100203003000,13773.399068828025
245100203003001,12896.54069983873
