h_geocode,gravity
245100101001000,6957.786684807246
245100101001001,5849.280805453005
245100101001002,5855.88866235871
245100101001003,6992.003139830877
245100101001004,7531.061467154488
245100101001005,8538.45074744045
245100101001006,9315.49318067166
245100101001008,8691.77015461824
245100101001009,8276.592014819644
245100101001010,7801.048211358831
245100101001011,7814.779640312199
245100101001012,7795.658505209907
245100101001013,6743.686381949647
245100101001014,6421.890367945689
245100101001015,7073.478681100078
245100101001016,8453.85957581627
245100101001017,8772.84422247319
245100101001018,6312.1162856616465
245100101002000,7070.105185992712
245100101002001,5187.871411333793
245100101002002,5931.149435968016
245100101002003,7614.774345126416
245100101002004,6211.147288027325
245100101002005,6369.458207376936
245100101002006,7542.685332476798
245100101002007,5842.068510890251
245100101002008,6178.102757876238
245100101002009,5441.37939876574
245100101002010,4639.2150927823395
245100101002011,5826.354670172168
245100101002012,5028.977055200836
245100101002013,5025.818734209951
245100101002014,4955.101084107858
245100101002015,6373.263300796145
245100101002017,5141.623499193634
245100101003000,6110.095447013344
245100101003001,5780.834678891755
245100101003002,5149.740199188986
245100101003003,4891.462154049711
245100101003004,4513.000200594991
245100101003005,4689.899225146222
245100101003006,3875.3002238114213
245100101003007,3793.1013568476196
245100101003008,3917.6125302253204
245100101003009,4702.411386221367
245100101003010,5007.9672738486315
245100101003011,4550.386958533685
245100101003012,6454.009418744237
245100101003014,5605.292994584859
245100101003015,3982.479154595786
245100101003016,4176.921801306398
245100101003017,4400.604903335633
245100101003018,4951.087623033222
245100102001000,5198.710413976349
245100102001001,5378.361391389484
245100102001002,5082.424371209376
245100102001003,4170.9393635964225
245100102001004,4719.750811442322
245100102001005,5030.097671297104
245100102001006,5727.861781980697
245100102001007,5138.854039160322
245100102002000,8118.2831690285075
245100102002001,7029.578882104901
245100102002002,8917.66938993831
245100102002003,10234.92807592753
245100102002004,10042.448335357894
245100102002005,8948.821890056824
245100102002006,6681.910097252609
245100102002007,8110.958653470065
245100102003000,8884.636604159261
245100102003001,9604.697274249083
245100102003002,10529.410936344279
245100102003003,10966.459702046035
245100102003005,10657.179818448501
245100102003006,9449.83543394483
245100102003007,9995.666165378498
245100102003008,9695.663617533308
245100102003009,8879.827463466107
245100102003010,7556.95029093946
245100102003011,6637.6661698194475
245100102004000,4879.051877484243
245100102004001,4930.591575881178
245100102004002,5556.911378709501
245100102004003,5203.965603394104
245100102004004,4545.096362380373
245100102004005,4356.218097180293
245100103001000,8915.38721224369
245100103001001,10047.736171637025
245100103001002,10513.061949518695
245100103001003,11849.886373539
245100103001004,12609.579788368665
245100103001005,10319.688727641344
245100103001006,10778.403730585096
245100103001007,9375.260005473265
245100103001008,9051.220580914325
245100103001009,8834.67756200032
245100103001010,10085.446190892582
245100103001011,10137.838156299254
245100103002000,13094.228292931079
245100103002001,12215.210366119849
245100103002002,12775.884383553432
245100103002003,14083.031653821123
245100103002004,15093.959397164554
245100103002005,15622.577909974614
245100103002006,15055.711018362952
245100103002007,15621.543423136402
245100103002008,14543.297160893593
245100103002009,13368.368940323759
245100103002010,12480.872416416227
245100103002011,13223.511841851621
245100103002012,12498.768739007937
245100103002013,9223.188313846978
245100103002014,12775.299267398444
245100103002015,10731.493256388283
245100103002016,12251.789465848073
245100103002017,10359.54840767746
245100103002018,9726.32270247042
245100103002019,10242.284743503213
245100103002020,12297.177328100122
245100103002021,12175.363684368767
245100104001000,8937.417283376253
245100104001001,8498.413733952824
245100104001002,9033.572327686921
245100104001003,10081.066983893632
245100104001004,10069.228979612471
245100104001005,9108.046762432652
245100104001006,10658.819231484766
245100104001007,11338.906151236
245100104001009,6273.324060278608
245100104001010,7035.888418581281
245100104001011,7276.536967333302
245100104001012,8604.110982079175
245100104001013,5791.773558057152
245100104001016,4698.030184164245
245100104001017,3988.5236084405515
245100104002000,16396.723930143424
245100104002001,16378.799608693005
245100104002002,15677.876645447814
245100104002003,16852.948094194406
245100104002004,16199.927278305133
245100104002005,14610.115333056638
245100104002006,14702.379386747907
245100104002007,14674.138602637538
245100104002008,13004.849493331138
245100104002009,13115.337088065815
245100104002010,12688.816131509757
245100104002012,13711.905730337572
245100104002013,12990.390645785441
245100104002014,11228.984123778202
245100104002015,10941.695225049585
245100104002016,12031.707555557745
245100104002017,16087.58283539683
245100104003000,11597.259759942666
245100104003001,8996.706272036083
245100104003002,2146.5644661778965
245100104003003,3670.4750913428215
245100104003004,3472.6021847035727
245100104003005,3355.7612297448463
245100105001000,14272.773229000533
245100105001001,15251.48758502765
245100105001002,15606.445069617204
245100105001003,14300.630752027568
245100105001004,13687.208018055411
245100105001005,13873.412258654655
245100105001006,13177.951431623942
245100105001007,13359.895826496897
245100105001008,12045.973733191016
245100105001009,12084.324812653304
245100105001010,15279.355254497867
245100105001011,14332.172575466833
245100105002000,12616.892965966419
245100105002001,12361.093891332524
245100105002002,12674.989004946226
245100105002003,13683.841026453752
245100105002004,15747.635185635394
245100105002005,14180.300292317143
245100105002006,14599.158575580099
245100105002007,13581.199459502915
245100105002008,15012.460384558919
245100105002009,14995.531732800962
245100105002010,16091.005318353993
245100105002011,15150.320692385223
245100105002012,16379.393084984154
245100105002013,16091.091981690657
245100201001000,14998.966310930726
245100201001001,18745.81230519325
245100201001002,19183.20729474171
245100201001003,21284.669265602846
245100201001004,20403.343886550865
245100201001005,19010.99575604909
245100201001006,17367.717862788595
245100201001007,17716.065439905226
245100201001008,15660.553937101467
245100201002000,16564.61079733303
245100201002001,18800.914878312935
245100201002002,18642.497971091398
245100201002003,19403.069956598774
245100201002004,21685.250433158835
245100201002005,20328.748134104557
245100201002006,18985.756694784766
245100201002007,17384.439511554177
245100201002008,15182.907013902626
245100201002009,18442.371438722643
245100201002010,18518.448861808014
245100201002011,22059.739692641902
245100201002012,20504.394624777902
245100201002013,20997.790051049342
245100201002014,20847.533484007974
245100202001000,21305.345334036505
245100202001001,21741.379486668284
245100202001002,23147.375252186284
245100202001003,28399.100448183806
245100202001004,20350.12643995137
245100202001005,21477.675623545118
245100202001006,23405.541021103978
245100202001007,22141.058046284154
245100202001008,28467.092613958797
245100202001009,25989.18098344039
245100202002000,19633.68723446008
245100202002001,20619.075488083137
245100202002002,23490.645921045092
245100202002003,27235.950951733248
245100202002004,28620.75699024357
245100202002005,23763.800440713232
245100202002006,22950.795334530267
245100202002007,22474.400557959612
245100202002008,23697.961481974096
245100202002009,24494.32744850418
245100202002010,25301.502710164626
245100202002011,27154.54874646171
245100202002012,30040.38355056077
245100203001000,20270.740449269906
245100203001001,22074.921051162593
245100203001002,23505.61716682575
245100203001003,23866.302644989155
245100203001004,24139.03540465873
245100203001005,25971.443432268774
245100203001006,24261.38912776966
245100203001007,39683.19909719976
245100203001008,38729.52750313697
