trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,07:00:38,07:00:38,0,1
1,07:02:35,07:02:35,1,2
1,07:06:11,07:06:11,2,3
1,07:13:31,07:13:31,3,4
1,07:19:48,07:19:48,4,5
1,07:22:18,07:22:18,5,6
1,07:24:12,07:24:12,6,7
1,07:26:29,07:26:29,7,8
1,07:28:46,07:28:46,8,9
1,07:30:20,07:30:20,9,10
1,07:32:08,07:32:08,10,11
1,07:35:00,07:35:00,11,12
1,07:37:36,07:37:36,12,13
1,07:42:30,07:42:30,13,14
1,07:45:06,07:45:06,14,15
1,07:50:53,07:50:53,15,16
1,07:52:18,07:52:18,16,17
1,08:20:58,08:20:58,17,18
1,08:54:32,08:54:32,18,19
2,07:08:38,07:08:38,0,1
2,07:10:35,07:10:35,1,2
2,07:14:11,07:14:11,2,3
2,07:21:31,07:21:31,3,4
2,07:27:48,07:27:48,4,5
2,07:30:18,07:30:18,5,6
2,07:32:12,07:32:12,6,7
2,07:34:29,07:34:29,7,8
2,07:36:46,07:36:46,8,9
2,07:38:20,07:38:20,9,10
2,07:40:08,07:40:08,10,11
2,07:43:00,07:43:00,11,12
2,07:45:36,07:45:36,12,13
2,07:50:30,07:50:30,13,14
2,07:53:06,07:53:06,14,15
2,07:58:53,07:58:53,15,16
2,08:00:18,08:00:18,16,17
2,08:28:58,08:28:58,17,18
2,09:02:32,09:02:32,18,19
3,07:16:38,07:16:38,0,1
3,07:18:35,07:18:35,1,2
3,07:22:11,07:22:11,2,3
3,07:29:31,07:29:31,3,4
3,07:35:48,07:35:48,4,5
3,07:38:18,07:38:18,5,6
3,07:40:12,07:40:12,6,7
3,07:42:29,07:42:29,7,8
3,07:44:46,07:44:46,8,9
3,07:46:20,07:46:20,9,10
3,07:48:08,07:48:08,10,11
3,07:51:00,07:51:00,11,12
3,07:53:36,07:53:36,12,13
3,07:58:30,07:58:30,13,14
3,08:01:06,08:01:06,14,15
3,08:06:53,08:06:53,15,16
3,08:08:18,08:08:18,16,17
3,08:36:58,08:36:58,17,18
3,09:10:32,09:10:32,18,19
4,07:24:38,07:24:38,0,1
4,07:26:35,07:26:35,1,2
4,07:30:11,07:30:11,2,3
4,07:37:31,07:37:31,3,4
4,07:43:48,07:43:48,4,5
4,07:46:18,07:46:18,5,6
4,07:48:12,07:48:12,6,7
4,07:50:29,07:50:29,7,8
4,07:52:46,07:52:46,8,9
4,07:54:20,07:54:20,9,10
4,07:56:08,07:56:08,10,11
4,07:59:00,07:59:00,11,12
4,08:01:36,08:01:36,12,13
4,08:06:30,08:06:30,13,14
4,08:09:06,08:09:06,14,15
4,08:14:53,08:14:53,15,16
4,08:16:18,08:16:18,16,17
4,08:44:58,08:44:58,17,18
4,09:18:32,09:18:32,18,19
5,07:32:38,07:32:38,0,1
5,07:34:35,07:34:35,1,2
5,07:38:11,07:38:11,2,3
5,07:45:31,07:45:31,3,4
5,07:51:48,07:51:48,4,5
5,07:54:18,07:54:18,5,6
5,07:56:12,07:56:12,6,7
5,07:58:29,07:58:29,7,8
5,08:00:46,08:00:46,8,9
5,08:02:20,08:02:20,9,10
5,08:04:08,08:04:08,10,11
5,08:07:00,08:07:00,11,12
5,08:09:36,08:09:36,12,13
5,08:14:30,08:14:30,13,14
5,08:17:06,08:17:06,14,15
5,08:22:53,08:22:53,15,16
5,08:24:18,08:24:18,16,17
5,08:52:58,08:52:58,17,18
5,09:26:32,09:26:32,18,19
6,07:40:38,07:40:38,0,1
6,07:42:35,07:42:35,1,2
6,07:46:11,07:46:11,2,3
6,07:53:31,07:53:31,3,4
6,07:59:48,07:59:48,4,5
6,08:02:18,08:02:18,5,6
6,08:04:12,08:04:12,6,7
6,08:06:29,08:06:29,7,8
6,08:08:46,08:08:46,8,9
6,08:10:20,08:10:20,9,10
6,08:12:08,08:12:08,10,11
6,08:15:00,08:15:00,11,12
6,08:17:36,08:17:36,12,13
6,08:22:30,08:22:30,13,14
6,08:25:06,08:25:06,14,15
6,08:30:53,08:30:53,15,16
6,08:32:18,08:32:18,16,17
6,09:00:58,09:00:58,17,18
6,09:34:32,09:34:32,18,19
7,07:48:38,07:48:38,0,1
7,07:50:35,07:50:35,1,2
