trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3249568,09:54:34,09:54:34,12613,1,,0,1,,1
3249568,09:54:51,09:54:51,12376,2,,0,0,0.0461,0
3249568,09:56:32,09:56:32,2420,3,,0,0,0.3248,0
3249568,09:57:40,09:57:40,2422,4,,0,0,0.6625,0
3249568,09:58:20,09:58:20,14158,5,,0,0,0.8878,0
3249568,09:59:19,09:59:19,2425,6,,0,0,1.3396,0
3249568,10:00:09,10:00:09,2427,7,,0,0,1.565,0
3249568,10:00:49,10:00:49,10439,8,,0,0,1.8705,0
3249568,10:01:30,10:01:30,12405,9,,0,0,2.1241,0
3249568,10:02:04,10:02:04,8601,10,,0,0,2.3715,0
3249568,10:03:23,10:03:23,2444,11,,0,0,2.6891,1
3249568,10:03:52,10:03:52,2445,12,,0,0,2.8985,0
3249568,10:05:06,10:05:06,13589,13,,0,0,3.3173,0
3249568,10:06:09,10:06:09,2450,14,,0,0,3.6238,0
3249568,10:07:25,10:07:25,8355,15,,0,0,4.0485,0
3249568,10:07:51,10:07:51,967,16,,0,0,4.2189,0
3249568,10:08:20,10:08:20,8566,17,,0,0,4.3681,0
3249568,10:08:47,10:08:47,10573,18,,0,0,4.4863,1
3249568,10:09:09,10:09:09,2472,19,,0,0,4.6386,0
3249568,10:10:07,10:10:07,2473,20,,0,0,4.7929,0
3249568,10:10:38,10:10:38,2474,21,,0,0,4.927,0
3249568,10:11:52,10:11:52,2475,22,,0,0,5.2354,0
3249568,10:12:22,10:12:22,2476,23,,0,0,5.3807,0
3249568,10:12:54,10:12:54,2478,24,,0,0,5.616,0
3249568,10:13:31,10:13:31,2440,25,,0,0,5.8945,0
3249568,10:14:10,10:14:10,2481,26,,0,0,6.1971,0
3249568,10:15:47,10:15:47,3409,27,,0,0,6.84,0
3249568,10:16:27,10:16:27,13839,28,,0,0,7.2267,0
3249568,10:17:02,10:17:02,13840,29,,0,0,7.4344,0
3249568,10:17:55,10:17:55,13841,30,,0,0,7.7833,1
3249568,10:19:10,10:19:10,13843,31,,0,0,8.0224,0
3249568,10:20:14,10:20:14,13844,32,,0,0,8.4241,0
3249568,10:22:17,10:22:17,13846,33,,0,0,9.0751,0
3249568,10:22:39,10:22:39,13847,34,,0,0,9.1923,0
3249568,10:24:22,10:24:22,5013,35,,0,0,9.6904,0
3249568,10:25:52,10:25:52,10508,36,,0,0,9.918,0
3249568,10:26:34,10:26:34,10510,37,,0,0,10.1593,0
3249568,10:26:58,10:26:58,10511,38,,0,0,10.385,0
3249568,10:27:38,10:27:38,10512,39,,0,0,10.684,0
3249568,10:28:25,10:28:25,10513,40,,0,0,10.8253,0
3249568,10:29:02,10:29:02,5019,41,,0,0,11.0075,0
3249568,10:29:51,10:29:51,5021,42,,0,0,11.2929,0
3249568,10:30:21,10:30:21,5022,43,,0,0,11.5754,1
3249568,10:30:42,10:30:42,4880,44,,0,0,11.7578,0
3249568,10:30:56,10:30:56,5024,45,,0,0,11.9231,0
3249568,10:31:24,10:31:24,5025,46,,0,0,12.2105,0
3249568,10:32:05,10:32:05,4166,47,,0,0,12.513,0
3249568,10:32:26,10:32:26,4168,48,,0,0,12.5906,0
3249568,10:34:12,10:34:12,320,49,,0,0,12.723,0
3249568,10:34:28,10:34:28,321,50,,0,0,12.9279,0
3249568,10:35:05,10:35:05,4171,51,,0,0,13.5693,0
3249568,10:35:39,10:35:39,10249,52,,0,0,13.8217,0
3249568,10:36:08,10:36:08,8984,53,,1,0,14.0498,1
3249569,09:01:54,09:01:54,12613,1,,0,1,,1
3249569,09:02:09,09:02:09,12376,2,,0,0,0.0461,0
3249569,09:02:48,09:02:48,2420,3,,0,0,0.3248,0
3249569,09:03:24,09:03:24,2422,4,,0,0,0.6625,0
3249569,09:04:17,09:04:17,14158,5,,0,0,0.8878,0
3249569,09:06:05,09:06:05,2425,6,,0,0,1.3396,0
