route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11638,1,3203953,WOODBERRY LIGHT RAIL STATION,,0,2000,139050,1,1
11638,1,3203954,WOODBERRY LIGHT RAIL STATION,,0,3000,139050,1,1
11638,1,3203955,WOODBERRY LIGHT RAIL STATION,,0,2000,139050,1,1
11638,1,3203956,WOODBERRY LIGHT RAIL STATION,,0,3001,139050,1,1
11638,1,3203957,WOODBERRY LIGHT RAIL STATION,,0,3000,139050,1,1
11638,1,3203958,WOODBERRY LIGHT RAIL STATION,,0,2001,139050,1,1
11638,1,3203959,WOODBERRY LIGHT RAIL STATION,,0,3001,139050,1,1
11638,1,3203960,WOODBERRY LIGHT RAIL STATION,,0,2002,139050,1,1
11638,1,3203961,WOODBERRY LIGHT RAIL STATION,,0,2005,139050,1,1
11638,1,3203962,WOODBERRY LIGHT RAIL STATION,,0,3001,139050,1,1
11638,1,3203963,WOODBERRY LIGHT RAIL STATION,,0,2002,139050,1,1
11638,1,3203964,WOODBERRY LIGHT RAIL STATION,,0,2005,139050,1,1
11638,1,3203965,WOODBERRY LIGHT RAIL STATION,,0,3001,139050,1,1
11638,1,3203966,WOODBERRY LIGHT RAIL STATION,,0,2002,139050,1,1
11638,1,3203967,WOODBERRY LIGHT RAIL STATION,,0,2005,139050,1,1
11638,1,3203968,WOODBERRY LIGHT RAIL STATION,,0,3001,139050,1,1
11638,1,3203969,WOODBERRY LIGHT RAIL STATION,,0,2002,139050,1,1
11638,1,3203970,WOODBERRY LIGHT RAIL STATION,,0,2005,139050,1,1
11638,1,3203971,WOODBERRY LIGHT RAIL STATION,,0,2004,139050,1,1
11638,1,3203972,WOODBERRY LIGHT RAIL STATION,,0,2002,139050,1,1
11638,1,3203973,WOODBERRY LIGHT RAIL STATION,,0,3002,139050,1,1
11638,1,3203974,WOODBERRY LIGHT RAIL STATION,,0,2004,139050,1,1
11638,1,3203975,WOODBERRY LIGHT RAIL STATION,,0,2003,139050,1,1
11638,1,3203976,WOODBERRY LIGHT RAIL STATION,,0,3002,139050,1,1
11638,1,3203977,WOODBERRY LIGHT RAIL STATION,,0,3003,139050,1,1
11638,1,3203978,WOODBERRY LIGHT RAIL STATION,,0,2003,139050,1,1
11638,1,3203979,WOODBERRY LIGHT RAIL STATION,,0,3002,139050,1,1
11638,1,3203980,WOODBERRY LIGHT RAIL STATION,,0,3003,139050,1,1
11638,1,3203981,WOODBERRY LIGHT RAIL STATION,,0,2003,139050,1,1
11638,1,3203982,WOODBERRY LIGHT RAIL STATION,,0,3002,139050,1,1
11638,1,3203983,WOODBERRY LIGHT RAIL STATION,,0,2003,139050,1,1
11638,1,3203984,HAMPDEN,,0,2005,139048,1,1
11638,1,3203985,CANTON CROSSING,,1,3000,139053,1,1
11638,1,3203986,CANTON CROSSING,,1,2000,139053,1,1
11638,1,3203987,CANTON CROSSING,,1,3000,139053,1,1
11638,1,3203988,CANTON CROSSING,,1,2000,139053,1,1
11638,1,3203989,CANTON CROSSING,,1,3001,139053,1,1
11638,1,3203990,CANTON CROSSING,,1,3000,139053,1,1
11638,1,3203991,CANTON CROSSING,,1,2005,139053,1,1
11638,1,3203992,CANTON CROSSING,,1,3001,139053,1,1
11638,1,3203993,CANTON CROSSING,,1,2002,139053,1,1
11638,1,3203994,CANTON CROSSING,,1,2005,139053,1,1
11638,1,3203995,CANTON CROSSING,,1,3001,139053,1,1
11638,1,3203996,CANTON CROSSING,,1,2002,139053,1,1
11638,1,3203997,CANTON CROSSING,,1,2005,139053,1,1
11638,1,3203998,CANTON CROSSING,,1,3001,139053,1,1
11638,1,3203999,CANTON CROSSING,,1,2002,139053,1,1
11638,1,3204000,CANTON CROSSING,,1,2005,139053,1,1
11638,1,3204001,CANTON CROSSING,,1,3001,139053,1,1
11638,1,3204002,CANTON CROSSING,,1,2002,139053,1,1
11638,1,3204003,CANTON CROSSING,,1,2005,139053,1,1
11638,1,3204004,CANTON CROSSING,,1,2004,139053,1,1
11638,1,3204005,CANTON CROSSING,,1,2002,139053,1,1
11638,1,3204006,CANTON CROSSING,,1,3002,139053,1,1
11638,1,3204007,CANTON CROSSING,,1,3003,139053,1,1
11638,1,3204008,CANTON CROSSING,,1,2003,139053,1,1
11638,1,3204009,CANTON CROSSING,,1,3002,139053,1,1
11638,1,3204010,CANTON CROSSING,,1,3003,139053,1,1
11638,1,3204011,CANTON CROSSING,,1,2003,139053,1,1
